date,mean_2m_air_temperature,total_precipitation
1980-02-18,301.7855225,2.51E-04
1980-02-19,297.2133179,0.027240004
1980-02-20,294.4776611,0.069390535
1980-02-21,296.6473694,7.85E-04
1980-02-22,297.1479797,0.001529411
1980-02-23,297.9036255,0.005023249
1980-02-24,298.1090393,0.004758604
1980-02-25,297.0152893,0.011323036
1980-02-26,296.6260681,0.002382942
1980-02-27,297.7799377,0.00252221
1980-02-28,298.4250793,0.001742014
1980-02-29,297.3683167,3.58E-04
1980-03-01,296.973053,7.74E-04
1980-03-02,297.9915466,4.56E-04
1980-03-03,296.9891052,0.006618302
1980-03-04,297.5600281,2.18E-04
1980-03-05,297.4015808,4.27E-05
1980-03-06,297.1242981,1.85E-04
1980-03-07,296.4251404,4.91E-04
1980-03-08,298.0980835,0
1980-03-09,297.8916321,0
1980-03-10,297.2123718,1.18E-04
1980-03-11,296.9542542,1.55E-06
1980-03-12,295.7261047,0
1980-03-13,296.0116577,2.95E-06
1980-03-14,296.5276184,1.81E-04
1980-03-15,298.6759033,0
1980-03-16,299.1540222,0.004292932
1980-03-17,298.5366821,0.003194471
1980-03-18,297.8993835,0.008261783
1980-03-19,297.32724,0.002361452
1980-03-20,296.5741272,0.001982857
1980-03-21,295.1078186,3.00E-04
1980-03-22,295.5872498,1.96E-08
1980-03-23,296.3985291,8.47E-06
1980-03-24,296.3485413,5.08E-04
1980-03-25,296.0349731,4.28E-08
1980-03-26,296.601593,5.46E-07
1980-03-27,297.1494446,1.71E-05
1980-03-28,297.7286682,1.06E-04
1980-03-29,297.7511902,8.35E-04
1980-03-30,296.9034119,2.41E-04
1980-03-31,296.1270447,0
1980-04-01,297.3626709,0
1980-04-02,296.3748474,2.25E-04
1980-04-03,295.7059937,1.49E-05
1980-04-04,296.3588867,0
1980-04-05,298.7674866,0
1980-04-06,298.8639832,0
1980-04-07,299.9093323,1.14E-04
1980-04-08,298.261261,2.64E-05
1980-04-09,298.0971375,0
1980-04-10,297.9550171,3.84E-04
1980-04-11,294.817749,0.012501509
1980-04-12,293.8257446,9.09E-04
1980-04-13,293.1750183,0
1980-04-14,294.868988,0
1980-04-15,296.1781311,1.86E-09
1980-04-16,296.3780212,4.10E-08
1980-04-17,296.2483826,0
1980-04-18,294.0141296,1.61E-04
1980-04-19,293.3795166,1.49E-05
1980-04-20,291.2747803,1.58E-06
1980-04-21,291.8132019,4.28E-08
1980-04-22,294.3387756,0
1980-04-23,295.7584534,0
1980-04-24,293.7493286,1.14E-05
1980-04-25,294.0665588,4.04E-06
1980-04-26,292.3599854,4.28E-08
1980-04-27,292.6012878,0
1980-04-28,291.853363,0
1980-04-29,292.5508728,0
1980-04-30,293.2826843,0
1980-05-01,293.554718,0
1980-05-02,294.2502136,0
1980-05-03,294.8197021,0
1980-05-04,294.1051025,1.86E-09
1980-05-05,294.5325623,4.28E-08
1980-05-06,294.9283142,1.86E-09
1980-05-07,296.7304382,4.28E-08
1980-05-08,294.2645264,1.62E-05
1980-05-09,290.0496521,0
1980-05-10,290.4087524,1.86E-09
1980-05-11,291.3056946,4.28E-08
1980-05-12,291.4710388,0
1980-05-13,292.5154419,0
1980-05-14,293.79599,0
1980-05-15,292.7472229,1.90E-05
1980-05-16,292.4414978,4.28E-08
1980-05-17,292.9319763,0
1980-05-18,293.5262756,0
1980-05-19,292.0212097,1.07E-05
1980-05-20,292.3194275,2.36E-05
1980-05-21,292.6939087,1.84E-05
1980-05-22,289.84729,9.27E-06
1980-05-23,288.1314392,0
1980-05-24,291.443634,0
1980-05-25,294.0638123,0
1980-05-26,292.4260559,0
1980-05-27,293.9250488,1.86E-09
1980-05-28,289.9138489,2.73E-06
1980-05-29,288.0516357,1.86E-09
1980-05-30,289.7501526,4.47E-08
1980-05-31,288.8600159,4.69E-04
1980-06-01,288.5412598,1.83E-04
1980-06-02,288.5033875,2.33E-08
1980-06-03,289.9629822,6.00E-07
1980-06-04,289.8347473,0
1980-06-05,288.5071716,6.04E-04
